,value,count
0,,66
1,1.77,1
2,0.03,3
3,0.11,1
4,?,9
5,0.39,1
6,0.14,2
7,0.00,3
8,0.04 (2001),1
9,0.37,1
10,0.15,2
11,0.02,4
12,0.09 (2009),1
13,0.08,1
14,0.02 (2014),1
15,0.16,2
16,0.53,1
17,0.06,2
18,0.04,3
19,4.17 (2010),1
20,0.27 (2013),1
21,0.22,1
22,0.00 (2000),1
23,0.30,1
24,0.18,1
25,0.36,1
26,0.00 (2015),1
27,0.24,1
28,0.00 (2014),1
29,0.46,1
30,0.29 (2015),1
31,0.01,4
32,0.10,1
33,0.00 (2011),1
34,0.31,1
35,0.00 (1994-),1
36,0.35,1
37,0.05,1
38,0.01 (2015),1
39,0.19 (2017),1
40,0.04 (1994),1
41,0.01 (2016),1
