,value,count
0,"40,000 lek (US$430) per month. The law establishes a 40-hour workweek, but the actual workweek is typically set by individual or collective-bargaining agreement.[10][11][12][13]",1
1,"DA 20,000 (US$156.19) per month, nationally.[14][15]",1
2,€7.42 (USD8.33) hourly.[16],1
3,"Kz 32,181 (US$61) per month; paid thirteen times a year.[17][18]",1
4,"Arg$146,000 (US$400) per month for up to 200 hours; paid thirteen times a year.[21]",1
5,"֏75,000 (US$190) per month.[10][22]",1
6,"Most workers are covered by an award, which may vary by employee age, geographical location and industry. Workers receive mandatory employer loadings such as penalty rates or leave loading. Minimum wages are set federally by the Fair Work Commission. For those 21 and older, not covered by an award or other instrument, (as of July 1, 2023) - the minimum wage is $A 882.80 (US$600) per week, or $A 23.23 (US$15) per hour.[23] Casual workers are paid a loading of typically 25%, resulting in a minimum of A$28 (US$18) per hour for those workers. Workers under 21, apprentices and trainees not covered by an award, have a minimum wages set at a percentage of the ordinary rate.[24] For those under 16, this is 36.8% or A$7.87 (US$5.25) per hour; $A 9.83 (US$6.56) with the casual loading.[25]",1
7,"None; National collective bargaining agreements set minimum wages by job classification for each industry and provide for a minimum wage of €1,200 (US$1419) per month[dubious – discuss]. Wages where no such collective agreements exist, such as for domestic workers, janitorial staff and au pairs, are regulated by relevant legislation and are generally lower than those covered by collective bargaining. The national minimum wage legislation has lapsed, although is still in force by convention.[26][10]",1
8,₼345 (US$203) per month.,1
9,None; BD 300 (US$800) for the public sector workers (only applies to Bahraini nationals).[10],1
10,"Tk. 1,500/- (US$19) per month for all economic sectors not covered by industry-specific wages; in the garment industry the minimum wage raised to Tk. 8,000/- (US$95) per month since 1 December 2018.[30] The minimum wage is set nationally every five years by the National Minimum Wage Board in a tripartite forum industry by industry.[10][18][31][32][33]",1
11,"€1,691.40 (US$2000) per month.[37][18][38]",1
12,BZ$5 (US$2.48) per hour.[10][39][40],1
13,,12
14,"Bs. 2,362 (US$343) per month.[44] plus an obligatory Christmas bonus equal to one month's pay, prorated for the amount of time the worker has worked in their present position. Plus a second Christmas Bonus if the government decries the economy grew enough, plus an extra month paid in May if the company made a profit for the previous year.[45][46]",1
15,KM 543 (US$269) net per month.[47],1
16,"R$1,320 per month (US$261), paid 13 times a year.[49] The Brazilian minimum wage is adjusted annually by the federal government, but each Brazilian state has the option to either follow the national minimum wage or to set its own minimum wage, which cannot be lower than the federal minimum wage. In 2022, five states (RS, SC, PR, SP and RJ) decided to stick with the latter option in order to have higher state minimum wages.[50]",1
17,"780 lev (€399) per month, 4.72 lev (€2.41) per hour.[37][51][52][53]",1
18,"F.CFA 34,664 (US$59) per month.[10][54]",1
19,"៛ 818,800 (US$200) per month, for the textile and shoe industries.[55][10][18][56]",1
20,The minimum wage in Canada is set federally and by each province and territory; ranges from Can$13 to Can$16 (US$9.69 to US$11.93) per hour. The minimum wage calculated here is a weighted average based on the relative population in each province.[10][58][59],1
21,"F.CFA 59,995 (US$110) per month, F.CFA 355 (US$0.60) per hour.[10][64][65]",1
