,value,count
0,Albania,1
1,,28
2,Angola,1
3,Argentina,1
4,Armenia,1
5,Australia,1
6,Austria,1
7,Azerbaijan,1
8,Bangladesh,1
9,Belgium,1
10,Bermuda,1
11,Bolivia,1
12,Brazil,1
13,Bulgaria,1
14,Burkina Faso,1
15,Cambodia,1
16,Canada,1
17,Chad,1
18,Chile,1
19,China,1
20,Colombia,1
21,Costa Rica,1
22,Croatia,1
23,Cyprus,1
24,Czech Republic,1
25,Egypt,1
26,El Salvador,1
27,Estonia,1
28,Ethiopia,1
29,Finland,1
30,France,1
31,Gabon,1
32,Georgia,1
33,Germany,1
34,Ghana,1
35,Greece,1
36,Guatemala,1
37,Guyana,1
38,Honduras,1
39,Hungary,1
40,India,1
41,Indonesia,1
42,Iran,1
43,Iraq,1
44,Ireland,1
45,Israel,1
46,Italy,1
47,Ivory Coast,1
48,Japan,1
49,Kazakhstan,1
50,Kenya,1
51,Kyrgyzstan,1
52,Laos,1
53,Latvia,1
54,Liechtenstein,1
55,Lithuania,1
56,Luxembourg,1
57,Madagascar,1
58,Malaysia,1
59,Maldives,1
60,Malta,1
61,Mexico,1
62,Moldova,1
63,Mongolia,1
64,Montenegro,1
65,Myanmar,1
66,Nepal,1
67,Netherlands,1
68,New Zealand,1
69,Nicaragua,1
70,Nigeria,1
71,Norway,1
72,Pakistan,1
73,Panama,1
74,Peru,1
75,Philippines,1
76,Poland,1
77,Portugal,1
78,Puerto Rico,1
79,Romania,1
80,Russia,1
81,Rwanda,1
82,Senegal,1
83,Serbia,1
84,Singapore,1
85,Slovakia,1
86,Slovenia,1
87,South Africa,1
88,Spain,1
89,Sudan,1
90,Suriname,1
91,Sweden,1
92,Switzerland,1
93,Tajikistan,1
94,Thailand,1
95,Trinidad and Tobago,1
96,Turkey,1
97,Uganda,1
98,Ukraine,1
99,United Kingdom,1
100,Uruguay,1
101,Uzbekistan,1
102,Vietnam,1
103,Zambia,1
